labels,count,top_state,state_count,first_day,last_day,#_days,year_50%,month_50%,diff_year,diff_month,latitude_mean,latitude_50%,diff_latitude,longitude_mean,longitude_50%,diff_longitude,brightness_mean,brightness_50%,brightness_std,diff_brightness,frp_mean,frp_50%,frp_std,diff_frp,nearest_aq_monitor,SITE_LATITUDE,SITE_LONGITUDE,geometry,Daily Mean PM2.5 Concentration,DAILY_AQI_VALUE
846,11,ID,1,2006-09-08,2006-09-11,4,2006,9,0.0,0.0,44.8571090909091,44.858,0.027599999999999625,-116.76482727272729,-116.7658,0.026199999999988677,347.09999999999997,333.8,34.18218834422396,113.60000000000002,144.0181818181818,37.6,218.84360085769845,617.5,"(45.079864040123, -116.844808262337)",45.079864040123,-116.844808262337,POINT (-116.844808262337 45.079864040123),18.0,63
847,9,MT,1,2006-09-08,2006-09-12,5,2006,9,0.0,0.0,48.22114444444445,48.2216,0.012399999999999523,-115.97444444444444,-115.9774,0.02539999999999054,333.1888888888888,328.4,14.84203864403779,43.30000000000001,43.92222222222222,35.1,26.049413514404588,73.39999999999999,"(48.3915450080109, -115.553309333839)",48.3915450080109,-115.553309333839,POINT (-115.553309333839 48.3915450080109),19.0,66
850,9,OR,1,2006-09-08,2006-09-08,1,2006,9,0.0,0.0,44.46526666666668,44.4812,0.19430000000000547,-123.17616666666669,-123.1731,0.024599999999992406,383.58888888888885,376.7,19.798007756113012,56.5,182.89999999999998,136.5,99.94350904385938,283.20000000000005,"(44.5884, -123.2673)",44.5884,-123.2673,POINT (-123.2673 44.5884),2.6,11
853,9,ID,1,2006-09-12,2006-09-15,3,2006,9,0.0,0.0,47.40261111111111,47.4067,0.08079999999999643,-116.89710000000001,-116.9005,0.07120000000000459,373.0666666666667,369.8,20.056856682940126,60.80000000000001,182.42222222222222,168.6,92.08746898706927,242.50000000000003,"(47.338604592, -116.885623481)",47.338604592,-116.885623481,POINT (-116.885623481 47.338604592),11.0,46
853,9,ID,1,2006-09-12,2006-09-15,3,2006,9,0.0,0.0,47.40261111111111,47.4067,0.08079999999999643,-116.89710000000001,-116.9005,0.07120000000000459,373.0666666666667,369.8,20.056856682940126,60.80000000000001,182.42222222222222,168.6,92.08746898706927,242.50000000000003,"(47.338604592, -116.885623481)",47.338604592,-116.885623481,POINT (-116.885623481 47.338604592),10.1,42
859,7,WA,1,2006-09-25,2006-10-07,13,2006,9,0.0,1.0,46.118471428571425,46.1161,0.12049999999999983,-118.14481428571428,-118.1329,0.09039999999998827,377.84285714285716,374.6,22.292738514507157,65.20000000000005,225.20000000000002,203.2,129.84809073169566,388.9,"(46.05881, -118.35147)",46.05881,-118.35147,POINT (-118.35147 46.05881),5.2,22
860,8,ID,1,2006-09-26,2006-09-26,1,2006,9,0.0,0.0,46.2272625,46.229,0.014000000000002899,-115.787775,-115.78685,0.02599999999999625,386.975,383.45000000000005,31.695008620105654,106.30000000000001,294.7375,215.55,270.789665014327,829.7,"(46.2094, -116.0275)",46.2094,-116.0275,POINT (-116.0275 46.2094),9.6,40
860,8,ID,1,2006-09-26,2006-09-26,1,2006,9,0.0,0.0,46.2272625,46.229,0.014000000000002899,-115.787775,-115.78685,0.02599999999999625,386.975,383.45000000000005,31.695008620105654,106.30000000000001,294.7375,215.55,270.789665014327,829.7,"(46.2094, -116.0275)",46.2094,-116.0275,POINT (-116.0275 46.2094),9.8,41
861,9,ID,2,2006-09-26,2006-10-02,6,2006,9,0.0,1.0,47.39672222222222,47.411,0.10960000000000036,-117.01725555555555,-117.0212,0.050299999999992906,363.0777777777778,363.9,8.968803958412982,25.0,214.31111111111113,130.0,159.85968413302683,385.5,"(47.338604592, -116.885623481)",47.338604592,-116.885623481,POINT (-116.885623481 47.338604592),6.8,28
863,16,ID,2,2006-09-27,2006-10-10,13,2006,10,0.0,1.0,47.201175,47.19925,0.0771000000000015,-116.97901875000001,-116.98225,0.17159999999999798,375.0625,370.15,23.69953234419054,83.10000000000002,501.05625,326.95,381.2885013892586,1170.3,"(47.338604592, -116.885623481)",47.338604592,-116.885623481,POINT (-116.885623481 47.338604592),6.3,26
